date|status|DOD|dateb_20190821
2019-06-03|dead|2019-06-03|pre
2019-06-03|dead|2019-06-03|pre
2019-06-03|dead|2019-06-03|pre
2019-06-02|dead|2019-06-02|pre
2019-06-01|dead|2019-06-01|pre
2019-06-01|dead|2019-06-01|pre
2019-06-01|dead|2019-06-01|pre
2019-05-31|dead|2019-05-31|pre
2019-05-31|dead|2019-05-31|pre
2019-05-31|dead|2019-05-31|pre
2019-05-30|dead|2019-05-30|pre
2019-05-30|dead|2019-05-30|pre
2019-05-29|dead|2019-05-29|pre
2019-05-29|dead|2019-05-29|pre
2019-05-29|dead|2019-05-29|pre
2019-05-28|dead|2019-05-28|pre
2019-05-28|dead|2019-05-28|pre
2019-05-28|dead|2019-05-28|pre
2019-05-28|dead|2019-05-28|pre
2019-05-28|dead|2019-05-28|pre
2019-05-28|dead|2019-05-28|pre
2019-05-27|dead|2019-05-27|pre
2019-05-27|dead|2019-05-27|pre
2019-05-27|dead|2019-05-27|pre
2019-05-26|dead|2019-05-26|pre
2019-05-26|dead|2019-05-26|pre
2019-05-25|dead|2019-05-25|pre
2019-05-25|dead|2019-05-25|pre
2019-05-24|dead|2019-05-24|pre
2019-05-24|dead|2019-05-24|pre
2019-05-23|dead|2019-05-23|pre
2019-05-23|dead|2019-05-23|pre
2019-05-23|dead|2019-05-23|pre
2019-05-22|dead|2019-05-22|pre
2019-05-22|dead|2019-05-22|pre
2019-05-22|dead|2019-05-22|pre
2019-05-20|dead|2019-05-20|pre
2019-05-20|dead|2019-05-20|pre
2019-05-20|dead|2019-05-20|pre
2019-05-19|dead|2019-05-19|pre
2019-05-18|dead|2019-05-18|pre
2019-05-17|dead|2019-05-17|pre
2019-05-17|dead|2019-05-17|pre
2019-05-17|dead|2019-05-17|pre
2019-05-17|dead|2019-05-17|pre
2019-05-16|dead|2019-05-16|pre
2019-05-16|dead|2019-05-16|pre
2019-05-15|dead|2019-05-15|pre
2019-05-15|dead|2019-05-15|pre
2019-05-14|dead|2019-05-14|pre
2019-05-14|dead|2019-05-14|pre
2019-05-14|dead|2019-05-14|pre
2019-05-13|dead|2019-05-13|pre
2019-05-13|dead|2019-05-13|pre
2019-05-12|dead|2019-05-12|pre
2019-05-11|dead|2019-05-11|pre
2019-05-10|dead|2019-05-10|pre
2019-05-10|dead|2019-05-10|pre
2019-05-09|dead|2019-05-09|pre
2019-05-09|dead|2019-05-09|pre
2019-05-09|dead|2019-05-09|pre
2019-05-09|dead|2019-05-09|pre
2019-05-09|dead|2019-05-09|pre
