Date|Status
2019-10-19|dead
2019-10-19|Not_dead
2019-10-18|Not_dead
2019-10-17|dead
2019-10-17|dead
2019-10-17|dead
2019-10-17|dead
2019-10-17|dead
2019-10-17|Not_dead
2019-10-16|dead
2019-10-16|Not_dead
2019-10-15|Not_dead
2019-10-15|dead
2019-10-15|Not_dead
2019-10-14|dead
2019-10-14|dead
2019-10-14|Not_dead
2019-10-14|dead
2019-10-14|dead
2019-10-14|dead
2019-10-13|dead
2019-10-12|Not_dead
2019-10-12|dead
2019-10-11|dead
2019-10-10|dead
2019-10-10|dead
2019-10-10|Not_dead
2019-10-09|dead
2019-10-09|Not_dead
2019-10-08|dead
2019-10-08|Not_dead
2019-10-06|Not_dead
2019-10-05|dead
2019-10-05|dead
2019-10-05|dead
2019-10-05|dead
2019-10-04|dead
2019-10-04|dead
2019-10-04|dead
2019-10-03|dead
2019-10-03|dead
2019-10-03|Not_dead
2019-10-03|dead
2019-10-03|Not_dead
2019-10-03|dead
2019-10-03|Not_dead
2019-10-02|dead
2019-10-02|Not_dead
2019-09-30|Not_dead
2019-09-30|Not_dead
2019-09-30|dead
2019-09-30|dead
2019-09-30|Not_dead
2019-09-30|dead
2019-09-30|dead
2019-09-29|Not_dead
2019-09-28|Not_dead
2019-09-28|Not_dead
2019-09-28|Not_dead
2019-09-28|Not_dead
2019-09-27|dead
2019-09-26|Not_dead
2019-09-26|dead
2019-09-26|dead
2019-09-26|Not_dead
2019-09-25|Not_dead
2019-09-25|dead
2019-09-25|dead
2019-09-25|dead
2019-09-25|dead
2019-09-24|dead
2019-09-24|dead
2019-09-24|dead
2019-09-23|dead
2019-09-23|dead
2019-09-23|Not_dead
2019-09-22|dead
2019-09-22|dead
2019-09-22|dead
2019-09-22|Not_dead
2019-09-21|dead
2019-09-21|Not_dead
2019-09-21|dead
2019-09-20|dead
2019-09-20|dead
2019-09-20|dead
2019-09-20|dead
2019-09-20|Not_dead
2019-09-19|dead
2019-09-19|dead
2019-09-19|Not_dead
2019-09-18|Not_dead
2019-09-18|dead
2019-09-18|dead
2019-09-17|Not_dead
2019-09-16|dead
2019-09-16|dead
2019-09-16|dead
2019-09-15|dead
2019-09-15|Not_dead
2019-09-14|dead
2019-09-14|Not_dead
2019-09-14|dead
2019-09-13|dead
2019-09-13|Not_dead
2019-09-13|dead
2019-09-12|dead
2019-09-11|dead
2019-09-11|dead
